relationship,kudos,works,words,chapters,collections,comments,bookmarks,hits,unique_authors
Jason Todd & Bruce Wayne,3045806,500,21948266,6026,3906,351409,606035,40610097,310
Hermione Granger/Harry Potter,897608,500,65809693,13277,843,238373,283486,100271622,317
Angel Dust/Husk (Hazbin Hotel),591604,500,44291905,12252,57,257043,90648,15029620,423
Shen Xinghui | Xavier/You,257644,500,14357181,3754,38,41473,30226,8931173,298
Blackbeard | Edward Teach/Stede Bonnet,1017432,500,25674875,7123,605,240145,179938,12247725,334
Akechi Goro/Persona 5 Protagonist,735673,500,36145322,6572,221,144979,139227,16405586,294
Jeong Yunho/Song Mingi (ATEEZ),465991,500,36919008,8534,85,101196,88647,11755996,318
Choi Seungcheol | S.Coups/Yoon Jeonghan,430547,500,32185030,7041,47,73788,74299,13593218,296
Gojo Satoru/Reader,667253,500,33762421,10021,121,125832,104861,25985720,382
Hwang Hyunjin/Lee Felix,561848,500,39893731,10200,62,149955,86791,17757382,318
Jinu/Rumi (KPop Demon Hunters),420327,500,14458304,4899,77,77075,82338,7451285,422
Kamishiro Rui/Tenma Tsukasa,329917,500,11440251,3844,88,58963,26659,6650220,247
