relationship,kudos,works,words,chapters,collections,comments,bookmarks,hits,unique_authors
Jeon Wonwoo/Kim Mingyu,274434,100,10872608,2217,15,42803,53943,8444576,72
Neil Josten/Andrew Minyard,506029,100,14857967,2350,176,109461,103850,11657289,76
Arzu/Nawfal (Sultan's Game),70473,100,6001397,1439,3,31984,14196,1500477,81
Alex Claremont-Diaz/Henry Fox-Mountchristen-Windsor,388949,100,7394228,1428,25,89413,92577,9524078,73
Steve Harrington/Eddie Munson,881820,100,9302707,1808,1163,147259,199488,15795273,75
Edwin Paine | Edwin Payne/Charles Rowland,147976,100,3595917,1071,31,39410,23635,1712576,68
Charlie Magne | Morningstar/Vaggie,268967,100,20676966,4825,46,189954,41324,10262501,93
Qi Yu | Rafayel/You,122727,100,7112272,1254,12,25995,17459,4210251,75
Charles | Grian/Ryan | GoodTimesWithScar,239677,100,9586156,2697,56,87129,30296,5363208,82
Harry Potter/Ginny Weasley,736284,100,33310805,7357,1415,179639,261089,64798775,86
Dazai Osamu & Nakahara Chuuya (Bungou Stray Dogs),330761,100,6584143,1614,190,44468,48955,6808602,73
Ford Pines & Stan Pines,187625,100,8390027,1949,67,68142,35759,3349488,89
Mizi/Sua (Alien Stage),133159,100,3518331,1127,21,19051,18937,2027750,80
Megatron/Optimus Prime,203931,100,10035714,2500,27,63449,34933,4833679,73
Tim Drake & Jason Todd,1224219,100,8053805,2154,2458,208657,303643,19765035,80
Astarion/Tav (Baldur's Gate),264734,100,13333568,3619,40,103578,46342,7018285,78
Jeon Jungkook/Kim Taehyung | V,1144517,100,16733533,2940,322,169454,297558,37563860,77
Dick Grayson & Bruce Wayne,974909,100,7887797,1810,1235,130131,217821,14859742,83
Harry Potter/Tom Riddle | Voldemort,1508227,100,22919928,4760,2933,325802,432395,56869681,86
Hans Capon/Henry,84467,100,4802733,1310,11,23830,12138,1442461,65
Jason Todd & Bruce Wayne,1052379,100,8284105,2256,1739,185563,256658,18004634,78
Hermione Granger/Harry Potter,361528,100,23668642,4247,355,99831,112627,53167837,78
Angel Dust/Husk (Hazbin Hotel),240657,100,16879567,4325,29,164919,37297,7588982,100
Shen Xinghui | Xavier/You,124838,100,6843443,1368,14,24267,14426,4868061,75
Blackbeard | Edward Teach/Stede Bonnet,412576,100,7637034,2222,212,87990,74556,5285186,75
Akechi Goro/Persona 5 Protagonist,300067,100,14850847,2330,110,85577,63798,8671279,82
Jeong Yunho/Song Mingi (ATEEZ),189004,100,13442478,2640,33,52925,39286,5678136,87
Choi Seungcheol | S.Coups/Yoon Jeonghan,171898,100,13595657,2655,13,39980,32244,5999122,70
Gojo Satoru/Reader,319756,100,12877790,3422,80,76605,52959,13616934,83
Hwang Hyunjin/Lee Felix,230355,100,15673714,3535,22,84739,36961,8966770,80
Jinu/Rumi (KPop Demon Hunters),209729,100,6136889,1812,50,47499,42204,4126458,91
Kamishiro Rui/Tenma Tsukasa,120106,100,5597786,1458,19,29367,10603,2828285,67
